Date,Open,High,Low,Close,Adj Close,Volume
2021-03-12,0.159520,0.165705,0.150040,0.159869,0.159869,48453
2021-03-13,0.159852,0.173762,0.151069,0.169601,0.169601,35756
2021-03-14,0.169559,0.173383,0.149750,0.170200,0.170200,26191
2021-03-15,0.170067,0.173665,0.144933,0.148672,0.148672,28854
2021-03-16,0.148677,0.182909,0.141410,0.181901,0.181901,35091
2021-03-17,0.181963,0.204453,0.167278,0.200018,0.200018,74705
2021-03-18,0.200102,0.201916,0.155256,0.171176,0.171176,56812
2021-03-19,0.171169,0.178316,0.164376,0.173469,0.173469,26747
2021-03-20,0.173504,0.184641,0.170528,0.177501,0.177501,42258
2021-03-21,0.177461,0.184104,0.162456,0.171710,0.171710,61876
2021-03-22,0.171734,0.179394,0.167396,0.168032,0.168032,69799
2021-03-23,0.168009,0.190102,0.162903,0.168437,0.168437,46112
2021-03-24,0.168362,0.181836,0.155359,0.157435,0.157435,102886
2021-03-25,0.157446,0.159468,0.144761,0.148944,0.148944,46407
2021-03-26,0.148931,0.167290,0.144427,0.163353,0.163353,41608
2021-03-27,0.163407,0.172859,0.144359,0.152317,0.152317,37467
2021-03-28,0.152297,0.171653,0.151642,0.164724,0.164724,31152
2021-03-29,0.164720,0.171256,0.155438,0.160543,0.160543,55862
2021-03-30,0.160548,0.167763,0.156297,0.158105,0.158105,54122
2021-03-31,0.158104,0.163223,0.154814,0.158547,0.158547,42726
2021-04-01,0.158552,0.165015,0.156816,0.157620,0.157620,32919
2021-04-02,0.157590,0.169738,0.156675,0.163441,0.163441,39809
2021-04-03,0.163457,0.177176,0.162920,0.166633,0.166633,50540
2021-04-04,0.166575,0.174416,0.161773,0.169801,0.169801,34522
2021-04-05,0.169821,0.181602,0.160304,0.160722,0.160722,61697
2021-04-06,0.161058,0.164412,0.154455,0.156377,0.156377,22921
2021-04-07,0.156274,0.163009,0.150328,0.161669,0.161669,40055
2021-04-08,0.161297,0.165418,0.154233,0.157839,0.157839,2077
2021-04-09,0.157868,0.167098,0.155015,0.155584,0.155584,1063
2021-04-10,0.155607,0.203417,0.153735,0.156249,0.156249,63043
2021-04-11,0.156256,0.167982,0.153818,0.156054,0.156054,33601
2021-04-12,0.156044,0.162046,0.153371,0.160179,0.160179,24329
2021-04-13,0.160074,0.172753,0.159366,0.172744,0.172744,42189
2021-04-14,0.172480,0.176864,0.166015,0.169928,0.169928,33490
2021-04-15,0.170024,0.241623,0.169116,0.207011,0.207011,89824
2021-04-16,0.207104,0.214402,0.185940,0.191467,0.191467,36612
2021-04-17,0.191233,0.214247,0.188549,0.191132,0.191132,59319
2021-04-18,0.191009,0.201703,0.157559,0.170492,0.170492,105110
2021-04-19,0.170435,0.189251,0.167147,0.172716,0.172716,28351
2021-04-20,0.172448,0.182550,0.164965,0.175215,0.175215,31748
2021-04-21,0.175386,0.178670,0.165458,0.168156,0.168156,43520
2021-04-22,0.168177,0.184976,0.158305,0.166508,0.166508,52933
2021-04-23,0.166387,0.196629,0.148715,0.187906,0.187906,78626
2021-04-24,0.187902,0.213040,0.175125,0.198503,0.198503,38596
2021-04-25,0.198464,0.210012,0.180732,0.191854,0.191854,51922
2021-04-26,0.191877,0.215894,0.191284,0.212697,0.212697,70605
2021-04-27,0.212759,0.272328,0.205803,0.254865,0.254865,103397
2021-04-28,0.255105,0.265494,0.234924,0.238628,0.238628,54352
2021-04-29,0.238699,0.266063,0.231737,0.254263,0.254263,64171
2021-04-30,0.254169,0.292155,0.244615,0.282275,0.282275,22227
2021-05-01,0.282163,0.299685,0.277055,0.287435,0.287435,21688
2021-05-02,0.287451,0.287821,0.250160,0.273407,0.273407,5918
2021-05-03,0.273455,0.284810,0.244745,0.246601,0.246601,6534
2021-05-04,0.246764,0.271124,0.229660,0.230042,0.230042,6196
2021-05-05,0.230273,0.276350,0.228699,0.241360,0.241360,3901
2021-05-06,0.241277,0.244613,0.187830,0.197264,0.197264,19656
2021-05-07,0.197398,0.216553,0.188754,0.196089,0.196089,4692
2021-05-08,0.196127,0.219895,0.191170,0.194215,0.194215,6895
2021-05-09,0.194338,0.211815,0.187326,0.196946,0.196946,5798
2021-05-10,0.196992,0.202159,0.180598,0.182323,0.182323,4232
2021-05-11,0.182438,0.197083,0.178354,0.184616,0.184616,2505
2021-05-12,0.184585,0.196885,0.162140,0.162140,0.162140,1727
2021-05-13,0.159652,0.175687,0.152602,0.162797,0.162797,4288
2021-05-14,0.162754,0.182577,0.159917,0.165437,0.165437,4234
2021-05-15,0.165460,0.179478,0.150910,0.151321,0.151321,2026
2021-05-16,0.151220,0.164387,0.144566,0.152756,0.152756,904
2021-05-17,0.152681,0.157116,0.132951,0.133134,0.133134,72883
2021-05-18,0.133646,0.149366,0.126343,0.129058,0.129058,45304
2021-05-19,0.128911,0.130450,0.090736,0.112283,0.112283,47568
2021-05-20,0.111819,0.152466,0.103587,0.140948,0.140948,45812
2021-05-21,0.141465,0.148367,0.099517,0.108192,0.108192,43025
2021-05-22,0.108385,0.114461,0.103726,0.113314,0.113314,28777
2021-05-23,0.113380,0.115725,0.094876,0.113718,0.113718,73478
2021-05-24,0.113313,0.129073,0.111770,0.126704,0.126704,54284
2021-05-25,0.126998,0.130214,0.118506,0.125656,0.125656,4097
2021-05-26,0.125957,0.132979,0.106933,0.124202,0.124202,43798
2021-05-27,0.124120,0.125934,0.115915,0.117023,0.117023,49385
2021-05-28,0.117034,0.118309,0.105868,0.108586,0.108586,56727
2021-05-29,0.108685,0.113386,0.101674,0.105275,0.105275,23397
2021-05-30,0.105374,0.117132,0.100772,0.113281,0.113281,36216
2021-05-31,0.113338,0.120930,0.108789,0.118982,0.118982,53661
2021-06-01,0.119039,0.122036,0.113603,0.118025,0.118025,48849
2021-06-02,0.118084,0.120836,0.111831,0.113072,0.113072,25532
